EMPCT;CONVOCADO;MATRICULADO
21081;S;S
29466;S;
39127;S;S
6252;S;S
60924;S;
31534;S;
17073;S;S
15334;S;
27543;S;
51920;S;S
53830;S;
48248;S;S
20475;S;
4453;S;S
40702;S;S
2048;S;S
49690;S;S
58699;S;
45727;S;
66932;S;S
53540;S;S
45284;S;
6946;S;
13362;S;
8668;S;S
4840;S;S
13577;S;S
55091;S;
73;S;
8684;S;S
69983;S;
29461;S;S
14157;S;S
56166;S;
55041;S;
55041;S;S
1662;S;
5233;S;S
5233;S;
39537;S;
49702;S;
40522;S;S
35769;S;S
28318;S;
16210;S;S
60237;S;
70180;S;S
9599;S;S
34884;S;
1804;S;
64945;S;
56348;S;S
20144;S;S
10137;S;
17247;S;
40394;S;S
8374;S;
40900;S;S
35867;S;
14223;S;S
56214;S;
61870;S;
17481;S;
17481;S;S
2035;S;S
6141;S;
20962;S;S
45148;S;
35617;S;
2061;S;S
49434;S;
2102;S;
61411;S;S
25398;S;
60516;S;
9564;S;
18717;S;
24979;S;
9561;S;S
13433;S;S
67629;S;
69977;S;S
1672;S;
17591;S;
30630;S;
1555;S;S
18684;S;
35679;S;
13059;S;S
20855;S;S
71978;S;
13196;S;S
25233;S;S
50840;S;
56358;S;S
8702;S;
47040;S;
9332;S;S
56284;S;
61905;S;S
20878;S;S
17219;S;
17219;S;S
13387;S;
34777;S;
20860;S;
24039;S;
5383;S;S
45093;S;
9273;S;
64171;S;S
34870;S;
23036;S;
18603;S;S
29688;S;
29688;S;
35915;S;S
8678;S;S
8517;S;S
34828;S;S
68067;S;
59869;S;S
58488;S;
35676;S;
43325;S;
13850;S;S
18453;S;S
40818;S;S
60333;S;
6605;S;S
25690;S;
2433;S;S
71364;S;
61512;S;S
1290;S;
60483;S;
27485;S;
22992;S;S
32686;S;
16959;S;
16764;S;
25295;S;
8660;S;S
1866;S;S
5925;S;S
64666;S;
48906;S;
38851;S;
32393;S;
69121;S;
69121;S;
21196;S;
21196;S;
10207;S;
55128;S;
20529;S;S
68800;S;S
13506;S;
56119;S;
46314;S;
8699;S;
28251;S;
60335;S;
18464;S;
49144;S;
69379;S;
39184;S;
72085;S;
49635;S;S
45025;S;S
49636;S;
4059;S;S
43161;S;S
37859;S;S
65944;S;S
52439;S;
52439;S;
9039;S;S
31475;S;
7590;S;S
47586;S;
55180;S;S
9604;S;S
56016;S;
14780;S;S
34880;S;
49430;S;
20160;S;S
59675;S;
39405;S;
20906;S;S
35642;S;S
1530;S;
9554;S;S
69855;S;S
45144;S;
40528;S;
29285;S;S
31911;S;S
1220;S;S
37872;S;S
7364;S;
59606;S;
34862;S;S
14241;S;S
1207;S;S
18469;S;S
6596;S;S
45138;S;
6102;S;S
9452;S;
61506;S;S
498;S;S
66768;S;S
35890;S;
22618;S;
10344;S;S
29456;S;
31198;S;
29071;S;
5472;S;S
71206;S;
9575;S;S
8717;S;
20083;S;
17456;S;S
50998;S;S
1668;S;S
67855;S;
4911;S;
9285;S;S
4244;S;
24491;S;S
61438;S;
43232;S;S
431;S;
40883;S;
40883;S;S
1973;S;S
38908;S;
60324;S;S
45085;S;
53619;S;S
10324;S;S
27639;S;
54688;S;
13458;S;S
67444;S;S
8635;S;S
8635;S;
35787;S;S
4180;S;
17626;S;S
27802;S;
32770;S;S
49128;S;S
13664;S;S
34772;S;S
2225;S;
56349;S;
43461;S;
27311;S;
7585;S;S
35770;S;S
35770;S;
39938;S;S
24381;S;
27066;S;
32723;S;
40861;S;S
61370;S;S
6522;S;S
13115;S;S
7878;S;S
13580;S;S
5368;S;
20997;S;S
45273;S;
1889;S;
29186;S;
52373;S;S
1853;S;S
12662;S;S
60369;S;
31363;S;
21117;S;S
54866;S;
13074;S;
7125;S;S
32642;S;S
37762;S;
28217;S;
35069;S;
40231;S;S
70056;S;S
18287;S;
39023;S;S
40364;S;
61788;S;S
50810;S;S
50912;S;
1361;S;S
39571;S;S
4862;S;S
17310;S;S
4424;S;S
40427;S;
63356;S;
34765;S;S
8066;S;
2068;S;S
40662;S;
68694;S;
32842;S;
45432;S;
35849;S;
31163;S;S
49085;S;
69857;S;
12594;S;
8832;S;S
7597;S;S
25193;S;S
8572;S;S
8836;S;
31171;S;
3878;S;
16113;S;S
25228;S;
32126;S;S
35662;S;S
53424;S;S
65226;S;S
31470;S;
12550;S;
44097;S;S
56267;S;S
69276;S;S
3627;S;S
20859;S;S
5049;S;
10237;S;
73405;S;
5976;S;
34872;S;
28071;S;S
60169;S;S
35652;S;
35703;S;S
35503;S;
29437;S;S
39461;S;S
65571;S;S
60467;S;S
10160;S;
50543;S;
3598;S;
9656;S;S
1189;S;S
9538;S;
60289;S;
54801;S;
32764;S;
56265;S;
9427;S;S
9380;S;S
20378;S;S
73348;S;
46479;S;
45427;S;
60337;S;
20299;S;S
65051;S;
34909;S;S
49952;S;
1834;S;S
40879;S;S
61859;S;
18261;S;S
49153;S;
39294;S;
40690;S;
32236;S;
7034;S;S
27771;S;
38208;S;
65716;S;S
60812;S;
13537;S;S
32649;S;
5918;S;S
67849;S;
32798;S;S
1372;S;S
13259;S;S
2406;S;
51118;S;S
61535;S;S
39365;S;
34930;S;
13186;S;S
32668;S;
8833;S;S
13082;S;S
1313;S;S
15245;S;S
31382;S;
61883;S;
5565;S;S
8360;S;S
871;S;S
22744;S;
38728;S;S
60372;S;
32511;S;
66059;S;
66059;S;
40447;S;
14967;S;
20739;S;
2029;S;S
4630;S;S
48170;S;S
1660;S;S
9917;S;
1360;S;S
34856;S;
3947;S;S
53864;S;
6171;S;S
40913;S;S
29279;S;
29296;S;
20528;S;S
7908;S;
35650;S;
48044;S;
34869;S;S
14122;S;S
39118;S;
32646;S;
753;S;S
29291;S;
1109;S;S
65233;S;S
17533;S;S
69989;S;
35899;S;S
7493;S;S
40058;S;
61719;S;S
49253;S;
61343;S;S
61951;S;
35741;S;
14392;S;S
38666;S;
6236;S;S
45175;S;
27298;S;
50625;S;S
35691;S;
47302;S;
2058;S;
47561;S;
45020;S;
65956;S;
55953;S;
60276;S;
34990;S;S
70008;S;
47697;S;S
55193;S;
70335;S;
1826;S;
8229;S;
64568;S;S
35782;S;
17513;S;
55174;S;
35906;S;S
18076;S;S
9911;S;S
34762;S;
1572;S;S
65246;S;S
39192;S;S
68111;S;S
22535;S;S
32450;S;S
52489;S;
27487;S;S
461;S;S
1228;S;
20858;S;S
43013;S;
3872;S;S
1216;S;
13462;S;S
1370;S;S
26717;S;
13830;S;S
20640;S;S
2007;S;
20838;S;S
59967;S;S
4089;S;S
27522;S;S
7456;S;S
530;S;S
26908;S;
9587;S;S
31231;S;S
64026;S;
43476;S;
49445;S;
2128;S;S
32635;S;S
55053;S;S
23225;S;S
6298;S;S
35835;S;
65836;S;
10144;S;S
17295;S;S
67967;S;
6787;S;S
6672;S;S
35794;S;
31401;S;S
31401;S;
9968;S;S
4017;S;
1296;S;
1296;S;
9647;S;S
53426;S;S
21129;S;S
13611;S;S
7715;S;S
13018;S;S
59884;S;
32883;S;S
7192;S;S
64512;S;
13963;S;S
37817;S;S
37817;S;
55191;S;
9460;S;
39291;S;
29416;S;S
21137;S;S
5001;S;S
3955;S;
46307;S;
25007;S;S
112;S;S
2018;S;S
58813;S;
55919;S;
35589;S;S
69762;S;
38570;S;
56353;S;
15385;S;
60061;S;
4916;S;
6992;S;S
43693;S;
4794;S;S
1459;S;
17286;S;S
21109;S;S
45982;S;S
50070;S;
12520;S;S
17479;S;
43880;S;S
1043;S;S
45133;S;
2247;S;S
20527;S;S
24080;S;S
2301;S;S
61228;S;
35189;S;
18222;S;
46168;S;
21142;S;S
21120;S;S
20470;S;S
67272;S;S
22534;S;S
31302;S;
46205;S;
46205;S;
35435;S;
4148;S;
21199;S;S
65811;S;S
44704;S;S
39252;S;S
29453;S;
15200;S;S
224;S;S
7415;S;S
31307;S;
68003;S;
14328;S;S
53277;S;
35745;S;
17036;S;S
40543;S;
4225;S;S
54480;S;S
32118;S;
27991;S;
71981;S;S
35699;S;S
61599;S;
35688;S;
72104;S;
2057;S;S
20485;S;S
1904;S;S
50449;S;
7952;S;S
8599;S;S
13319;S;S
69340;S;S
1625;S;S
20648;S;S
34919;S;S
34919;S;
61761;S;S
31578;S;
5256;S;S
9998;S;S
35901;S;S
14054;S;S
59960;S;S
18591;S;S
61505;S;
8803;S;S
25405;S;
47767;S;
31469;S;
17464;S;S
50516;S;S
20644;S;S
25006;S;S
59476;S;
38928;S;S
35912;S;
13680;S;S
24708;S;S
2452;S;S
2238;S;S
21145;S;
21145;S;S
16069;S;S
13126;S;S
60253;S;
50720;S;
1931;S;S
61429;S;S
12443;S;
39172;S;S
34967;S;
35797;S;
32878;S;
18047;S;
1294;S;
9216;S;
14713;S;S
20070;S;S
64137;S;
73449;S;
47694;S;S
39511;S;
53419;S;S
4307;S;
25362;S;
26792;S;
31538;S;
1113;S;S
61263;S;S
50012;S;S
67876;S;S
5422;S;
40882;S;S
39431;S;
72135;S;
40910;S;S
55336;S;
18472;S;
73417;S;
31189;S;S
46120;S;S
67417;S;
27326;S;S
54680;S;
29336;S;S
17596;S;S
6397;S;S
28288;S;
35866;S;
35130;S;
17262;S;S
14710;S;S
4332;S;
16983;S;S
6037;S;S
40363;S;S
10333;S;S
9986;S;
26870;S;S
2006;S;
16642;S;
12521;S;S
37845;S;
9929;S;S
56000;S;
52553;S;
39030;S;
8513;S;S
22721;S;
50532;S;
35707;S;S
18482;S;
3946;S;
16258;S;S
1273;S;
52024;S;S
39399;S;S
60009;S;
56351;S;S
14211;S;S
20597;S;S
18585;S;S
8147;S;S
12696;S;S
54481;S;
21185;S;S
974;S;
9623;S;S
47893;S;
27262;S;S
34804;S;S
24084;S;
73237;S;
39508;S;S
35358;S;
2440;S;S
60349;S;S
18691;S;S
61322;S;
49250;S;
5205;S;S
2405;S;
26662;S;
27821;S;
39548;S;
16835;S;S
14431;S;
28161;S;
25088;S;S
13674;S;
24690;S;S
665;S;S
961;S;S
45320;S;S
49472;S;
49472;S;
10151;S;S
27764;S;
51456;S;
2277;S;S
54472;S;S
13428;S;S
35600;S;
14897;S;S
4438;S;S
26975;S;
26975;S;S
1835;S;
31348;S;
20987;S;S
45686;S;
66757;S;
6718;S;S
69240;S;S
55094;S;
32440;S;
18614;S;S
31484;S;S
35647;S;S
52284;S;
55895;S;
60040;S;
9467;S;S
24720;S;
15056;S;S
13253;S;S
34913;S;
56259;S;
26121;S;
64482;S;
35223;S;
5381;S;S
22799;S;
29155;S;
56293;S;S
59697;S;
32773;S;
4452;S;S
18082;S;S
56199;S;
34915;S;
8616;S;S
15144;S;
55943;S;S
31350;S;S
27732;S;S
29079;S;S
34947;S;
55888;S;S
73469;S;
68824;S;S
70254;S;
9927;S;S
56025;S;
34980;S;
5551;S;S
35896;S;S
43698;S;
47581;S;
17318;S;S
63394;S;
71851;S;
43891;S;
1939;S;S
2240;S;S
60808;S;
25906;S;
9351;S;
35860;S;
34793;S;
20171;S;
4799;S;S
53689;S;S
7537;S;S
12474;S;S
13415;S;
47800;S;S
47800;S;
35870;S;
71857;S;S
501;S;S
38948;S;S
49095;S;S
8840;S;S
18440;S;S
7961;S;S
35774;S;
61416;S;S
49943;S;
20982;S;
9517;S;
35785;S;
9905;S;S
59379;S;
27627;S;
14204;S;S
48159;S;
61580;S;S
69312;S;S
29393;S;S
53821;S;
601;S;S
16765;S;
2484;S;S
37815;S;
27131;S;
69013;S;S
1227;S;S
29467;S;
9619;S;S
14850;S;S
9697;S;
45839;S;S
49287;S;S
1363;S;S
68508;S;S
58635;S;
4216;S;
17382;S;
447;S;
15366;S;
15860;S;
56248;S;
8503;S;S
55047;S;
55047;S;
61393;S;S
61393;S;
17134;S;S
58649;S;S
67932;S;
679;S;S
56212;S;
13460;S;S
18736;S;S
52400;S;
60137;S;
20953;S;S
8627;S;S
69270;S;S
55401;S;
7687;S;
20090;S;
9892;S;S
20985;S;S
18248;S;S
35842;S;
10178;S;
17322;S;S
677;S;S
34988;S;S
66114;S;
53334;S;
14263;S;S
8266;S;S
54850;S;S
18444;S;S
35845;S;S
73238;S;
47820;S;
32260;S;
47576;S;
432;S;
48419;S;S
71412;S;
8136;S;S
7708;S;
31923;S;
59299;S;S
9396;S;S
9396;S;
18685;S;
44194;S;S
9214;S;
9961;S;S
53549;S;
8180;S;S
16740;S;S
52101;S;
4253;S;S
25129;S;
39458;S;
12701;S;S
17270;S;
69412;S;
8531;S;
17093;S;
1133;S;
34998;S;
72088;S;
2466;S;S
35884;S;S
39430;S;S
46433;S;
35692;S;
35903;S;
16698;S;
29452;S;
32456;S;
20628;S;S
67777;S;
6611;S;S
39714;S;
66166;S;S
34818;S;S
66004;S;S
20647;S;S
14081;S;S
1377;S;
60415;S;S
61345;S;
52058;S;S
40776;S;
35763;S;
18225;S;S
23077;S;
71715;S;S
5529;S;S
2255;S;S
34775;S;S
1149;S;
9636;S;
6358;S;
6877;S;
31229;S;
1259;S;
46588;S;
59288;S;S
1412;S;
29576;S;
9714;S;
35529;S;
35462;S;
28326;S;
13376;S;S
38882;S;
61893;S;
29417;S;
61290;S;
594;S;S
34759;S;S
16071;S;
3585;S;S
17575;S;S
20842;S;S
12501;S;S
29158;S;
35909;S;S
37603;S;S
23932;S;S
18089;S;
31553;S;
18284;S;
8729;S;S
71734;S;
36047;S;
3918;S;S
64913;S;S
13431;S;S
40341;S;
17172;S;S
18700;S;S
6215;S;S
20865;S;S
39496;S;
13441;S;S
60090;S;
2016;S;
61495;S;S
7426;S;S
49664;S;
36272;S;
13565;S;S
44724;S;
43626;S;S
39143;S;
25528;S;S
40393;S;S
18723;S;S
39599;S;
20599;S;S
6566;S;S
788;S;S
1802;S;
17291;S;S
21187;S;S
64514;S;
9406;S;S
18337;S;S
20927;S;S
31490;S;S
61735;S;S
20474;S;S
71605;S;S
47224;S;S
20966;S;
36268;S;S
2311;S;
17623;S;S
6980;S;S
54874;S;
37319;S;
9245;S;
58835;S;S
58784;S;
37652;S;S
50441;S;S
38650;S;
65728;S;S
20085;S;S
20414;S;
52512;S;S
17518;S;
6821;S;S
2266;S;S
2260;S;S
9306;S;
13588;S;S
65177;S;
64549;S;S
16754;S;
16754;S;
47199;S;
21644;S;S
2437;S;
2437;S;
9526;S;S
9526;S;
6230;S;S
21759;S;S
52366;S;
61377;S;S
867;S;S
48234;S;S
60358;S;S
2223;S;S
22431;S;
55221;S;
28157;S;
28157;S;
55077;S;
52726;S;
50754;S;
32283;S;
32447;S;
4755;S;S
37493;S;S
13361;S;
14292;S;S
14273;S;S
40909;S;
17082;S;
29331;S;S
43561;S;
18015;S;
5964;S;
37753;S;S
16191;S;S
72237;S;
28033;S;
29315;S;
39224;S;S
46486;S;
68711;S;S
55991;S;
27748;S;
60702;S;
35962;S;
9995;S;
37010;S;
9098;S;S
15400;S;
5433;S;S
29292;S;S
50807;S;S
63393;S;
10176;S;
48038;S;S
31503;S;
68125;S;
7634;S;S
43841;S;S
7387;S;S
40477;S;
32470;S;S
9883;S;S
21331;S;S
14137;S;
36127;S;
65173;S;S
48253;S;S
24207;S;S
21466;S;S
14162;S;S
54810;S;S
48104;S;S
37063;S;S
25764;S;S
38522;S;S
25491;S;
52724;S;S
8714;S;
46154;S;
14909;S;S
24406;S;S
36012;S;
36012;S;
27475;S;S
43730;S;S
10351;S;
14087;S;
21883;S;
2021;S;S
4442;S;S
39304;S;S
82;S;
70154;S;
51048;S;S
31255;S;
42790;S;S
25619;S;
28604;S;
22645;S;
25192;S;
746;S;S
21789;S;
986;S;S
73360;S;
56198;S;
37465;S;S
61355;S;S
39052;S;
49237;S;
60294;S;S
17264;S;
40889;S;S
10072;S;S
12710;S;S
37305;S;
1076;S;
1076;S;S
44682;S;
8552;S;S
69118;S;
48003;S;
27505;S;S
63850;S;
18048;S;S
25739;S;S
47826;S;
52070;S;S
50416;S;
4729;S;S
27614;S;S
35950;S;
27347;S;S
47630;S;S
21772;S;S
69254;S;S
21901;S;
15866;S;
39292;S;S
68854;S;
7974;S;S
37568;S;
50727;S;S
49637;S;S
37062;S;S
49348;S;S
6479;S;S
22936;S;
35987;S;
32827;S;
55681;S;
21820;S;S
29124;S;S
4760;S;S
37267;S;
54813;S;
22501;S;S
22462;S;S
61539;S;S
22539;S;
27081;S;S
27725;S;
27725;S;
31218;S;
25037;S;
61225;S;
3146;S;
2691;S;
32071;S;
14230;S;S
10259;S;
37303;S;S
46545;S;
21437;S;
476;S;
792;S;
9397;S;S
13810;S;S
38940;S;S
36487;S;
40788;S;
43546;S;
67996;S;
67816;S;
66374;S;
66374;S;
16994;S;S
37070;S;
2844;S;
3186;S;S
24975;S;
13916;S;S
37567;S;S
64958;S;S
17312;S;
2772;S;S
7455;S;S
3352;S;
46321;S;
67744;S;
29203;S;
71797;S;
3420;S;
22242;S;S
21269;S;S
29436;S;
31261;S;
31261;S;
61435;S;S
17614;S;
25806;S;S
18382;S;
46267;S;
32368;S;
24958;S;
37911;S;S
22369;S;
36059;S;
50881;S;
46104;S;
30485;S;
36094;S;S
3157;S;S
24093;S;S
60012;S;
3367;S;S
21942;S;S
32601;S;
36163;S;
25017;S;S
48178;S;S
617;S;
48009;S;
10042;S;S
15392;S;
49426;S;
53679;S;
39210;S;S
13899;S;S
37403;S;S
14002;S;S
28156;S;
47299;S;S
22563;S;S
8113;S;S
60167;S;
32406;S;S
25034;S;
3602;S;S
28245;S;
3069;S;S
9746;S;S
60017;S;S
21864;S;S
79;S;S
65925;S;S
46595;S;S
29464;S;
45908;S;
3343;S;S
23672;S;
71119;S;S
37150;S;
17578;S;S
9709;S;S
3052;S;
3052;S;S
8808;S;S
61315;S;
24760;S;S
47799;S;
3269;S;
8170;S;
8170;S;
9440;S;S
21709;S;
39279;S;
20209;S;S
2659;S;S
2659;S;
66030;S;
36005;S;
66126;S;
56300;S;
17258;S;S
17024;S;S
32771;S;S
21900;S;
5651;S;
27989;S;
37;S;
69426;S;
6619;S;
40535;S;
21797;S;S
10183;S;S
2620;S;S
3317;S;S
24075;S;S
3147;S;
18664;S;
3219;S;S
44925;S;
37047;S;
81;S;S
21730;S;S
37355;S;
3425;S;S
59919;S;
13257;S;S
25515;S;S
24824;S;S
37017;S;
36247;S;S
32304;S;
2515;S;
7506;S;S
47825;S;S
28090;S;
39250;S;S
17510;S;S
47439;S;S
66773;S;
66773;S;S
9432;S;S
38827;S;S
25360;S;S
15180;S;S
37367;S;
51002;S;
37454;S;
32371;S;S
61848;S;
36249;S;
50575;S;
38793;S;
8600;S;S
59609;S;
6085;S;S
19698;S;
3871;S;S
72029;S;
50885;S;
7732;S;S
21251;S;
10229;S;S
48040;S;S
28080;S;
6376;S;S
70092;S;
8835;S;
55075;S;
56021;S;S
68827;S;
18983;S;S
39651;S;
19248;S;
37582;S;S
133;S;
13859;S;S
32537;S;
38702;S;S
8295;S;
8438;S;S
3381;S;
25276;S;
4987;S;
14634;S;S
52754;S;
64264;S;
8521;S;S
2594;S;
3380;S;
13276;S;S
32503;S;
44657;S;
28128;S;
61590;S;S
8774;S;
36084;S;
9473;S;S
13707;S;S
30996;S;S
19416;S;
36073;S;
38674;S;
28102;S;
51346;S;S
69302;S;
18996;S;S
36276;S;S
32243;S;S
45971;S;S
52278;S;
19870;S;S
44343;S;
9659;S;S
54595;S;S
8236;S;
23947;S;S
12419;S;S
46594;S;S
5382;S;
22780;S;
58479;S;
608;S;S
2699;S;S
55017;S;S
21227;S;S
39404;S;S
29183;S;
56354;S;S
13538;S;S
40392;S;
6683;S;S
36486;S;
58754;S;
25224;S;
60257;S;
54807;S;S
13855;S;S
469;S;S
32494;S;
36169;S;
31429;S;
209;S;S
53615;S;
70203;S;
8367;S;S
27254;S;
2995;S;S
66259;S;S
36261;S;
61851;S;
28101;S;
15852;S;
15852;S;
36018;S;
28269;S;
61908;S;
9412;S;S
10187;S;S
26759;S;
37579;S;
40721;S;
59988;S;S
59988;S;
26914;S;
18919;S;S
21230;S;S
1098;S;
37180;S;
2989;S;S
32111;S;
67909;S;
3093;S;
55966;S;
62061;S;
8548;S;
3264;S;S
47960;S;S
47960;S;
2640;S;S
9634;S;S
21823;S;S
8760;S;S
4972;S;
19019;S;S
64190;S;
40843;S;
1031;S;S
49252;S;S
49252;S;
3138;S;S
36156;S;
23138;S;
9926;S;S
39271;S;S
31390;S;
63205;S;S
40436;S;S
45301;S;
73249;S;
21218;S;
36945;S;
36032;S;S
45274;S;
6104;S;S
15759;S;
39036;S;
59502;S;S
46337;S;
9593;S;S
26873;S;
50806;S;
22476;S;
3527;S;S
43975;S;
7589;S;S
27514;S;
48064;S;S
19934;S;
25526;S;S
21210;S;S
72090;S;
40332;S;S
40634;S;S
13455;S;S
6192;S;S
36196;S;
12429;S;S
68906;S;
39663;S;S
62024;S;
21439;S;
59851;S;S
65476;S;
8742;S;S
29209;S;S
17200;S;S
9278;S;S
63145;S;
69022;S;
37860;S;S
3427;S;
3225;S;S
4257;S;S
36363;S;
44924;S;S
8235;S;S
67974;S;S
71714;S;
56295;S;S
2676;S;
3086;S;S
37527;S;
48916;S;
5311;S;S
56279;S;S
56279;S;
28273;S;
52548;S;
37191;S;
47726;S;
37208;S;
7692;S;
15407;S;
37600;S;
44069;S;S
45965;S;
22477;S;S
62862;S;
3123;S;
19722;S;
22557;S;S
3325;S;S
3268;S;S
72108;S;
51009;S;
6795;S;S
51136;S;
6778;S;S
50347;S;S
69319;S;
47946;S;S
40666;S;
46292;S;
22280;S;S
53638;S;S
51978;S;
3353;S;S
36153;S;
43761;S;
44080;S;
52044;S;S
4187;S;S
36623;S;
43414;S;
37280;S;S
44759;S;S
63228;S;S
53534;S;
71773;S;
9702;S;
10132;S;S
8240;S;
8612;S;S
54682;S;
45341;S;
3526;S;S
71610;S;
8419;S;
21928;S;S
4393;S;S
61964;S;S
38855;S;
35938;S;
22996;S;
43930;S;S
3332;S;S
22562;S;
48031;S;S
62163;S;S
8453;S;
37357;S;
27660;S;
65796;S;
49760;S;
70169;S;
8504;S;S
22454;S;S
62017;S;
9378;S;S
36251;S;
22463;S;S
18937;S;S
23205;S;S
678;S;S
56019;S;
56168;S;S
37026;S;S
15073;S;S
9374;S;S
3410;S;
3410;S;S
2851;S;S
3252;S;S
47796;S;
71663;S;
27512;S;S
19997;S;
55028;S;
37804;S;
37329;S;
37521;S;S
55027;S;
68908;S;
37448;S;
24475;S;S
51031;S;
51031;S;
46515;S;
46174;S;
35956;S;S
32184;S;
53803;S;
21792;S;S
37110;S;
27726;S;
49819;S;S
64426;S;S
73409;S;
24178;S;S
32865;S;
14841;S;S
73347;S;S
54960;S;S
40085;S;
39993;S;
28044;S;
49789;S;
54948;S;
69212;S;S
64194;S;S
2578;S;S
38699;S;
37511;S;S
3942;S;
37462;S;S
8827;S;S
3344;S;S
3323;S;S
12601;S;S
64024;S;
31054;S;S
31054;S;
61969;S;
36989;S;S
62884;S;
62103;S;S
6251;S;S
12727;S;
37560;S;S
28190;S;
32741;S;
5915;S;S
47775;S;
53699;S;
39306;S;
43459;S;S
28222;S;
46278;S;
7378;S;S
3478;S;
48238;S;S
52657;S;
52657;S;
51022;S;
13867;S;S
13867;S;
21763;S;
37581;S;
9802;S;
56251;S;S
40712;S;
115;S;S
32312;S;
17068;S;S
3929;S;S
28624;S;
37148;S;S
68856;S;
40907;S;
21833;S;S
27362;S;S
71968;S;
3437;S;
5054;S;S
22385;S;S
27468;S;S
24948;S;S
25133;S;S
697;S;S
18906;S;
9909;S;
37345;S;S
40798;S;
55082;S;
1008;S;
49719;S;
55074;S;
9558;S;S
19688;S;
16023;S;
16707;S;S
10152;S;S
22304;S;
63446;S;S
5464;S;S
9521;S;S
4063;S;
3520;S;S
14331;S;S
60025;S;S
69035;S;S
36233;S;S
24819;S;S
19951;S;S
39108;S;
7885;S;S
55108;S;S
37870;S;S
5235;S;S
4475;S;
2986;S;S
1033;S;
25175;S;
9894;S;S
24809;S;S
37172;S;
71626;S;
31441;S;S
62943;S;S
55997;S;S
17257;S;S
19388;S;S
17029;S;
25002;S;S
18907;S;
18907;S;
5914;S;S
8804;S;S
39376;S;S
39376;S;
17180;S;S
947;S;S
36966;S;S
37809;S;
48659;S;
9410;S;
62904;S;S
71676;S;
176;S;S
176;S;
37059;S;
9181;S;
40826;S;S
49446;S;
16066;S;
40664;S;
4420;S;
5223;S;S
64567;S;S
49520;S;
21207;S;S
19340;S;S
21770;S;
28060;S;
36748;S;
6374;S;S
55010;S;
19669;S;
190;S;
64968;S;S
25816;S;S
71911;S;
25159;S;S
13647;S;S
32386;S;
6467;S;S
15920;S;S
4389;S;S
22241;S;S
9498;S;S
61981;S;
49806;S;S
37300;S;
22102;S;S
19502;S;
21648;S;S
22492;S;S
73296;S;
38884;S;S
64988;S;S
478;S;
25215;S;S
22100;S;
12688;S;S
52391;S;
37343;S;
8539;S;S
30960;S;
46250;S;S
37281;S;
50647;S;S
47928;S;
67727;S;S
40462;S;
32448;S;
38734;S;
19618;S;
13495;S;S
3543;S;S
19472;S;S
23976;S;S
31394;S;
8629;S;
12495;S;S
28738;S;
3716;S;
39261;S;
13337;S;S
71645;S;S
13395;S;S
42706;S;
36010;S;
71623;S;S
12402;S;S
2523;S;S
39637;S;S
7771;S;S
37664;S;
29160;S;
32709;S;
15166;S;S
25484;S;S
25484;S;
37748;S;
42696;S;
4156;S;S
40612;S;
52475;S;
45831;S;
21306;S;
21264;S;
40835;S;
40264;S;
5523;S;S
7846;S;S
3028;S;S
22670;S;
1027;S;
181;S;S
37356;S;
67159;S;
68843;S;
24324;S;S
28264;S;
8478;S;S
45853;S;
53606;S;
36955;S;
45265;S;S
32826;S;
22503;S;S
64641;S;
6551;S;
15145;S;S
52290;S;
26421;S;
37463;S;
36166;S;
36166;S;S
36971;S;
37515;S;S
45308;S;
42690;S;
32284;S;
37396;S;S
4005;S;S
6121;S;
3319;S;S
32343;S;
22455;S;S
63010;S;S
67982;S;S
5582;S;S
63019;S;
57238;S;
2996;S;S
9819;S;
19437;S;S
2579;S;
31265;S;
51968;S;S
4395;S;S
22101;S;S
37514;S;
35936;S;
19967;S;
52323;S;
37787;S;S
50784;S;S
39105;S;S
4029;S;S
42536;S;
24872;S;
3251;S;S
59691;S;
51945;S;
3023;S;S
52443;S;
15397;S;
42686;S;
24955;S;S
53904;S;
40885;S;
31617;S;
3113;S;S
37570;S;
19408;S;S
32316;S;
6274;S;S
21809;S;
51141;S;
1092;S;S
46215;S;
45141;S;S
7848;S;S
53378;S;S
67911;S;S
39268;S;
2980;S;
57482;S;
64018;S;S
32631;S;
44786;S;
56585;S;
9688;S;S
48067;S;
19689;S;S
7569;S;S
54621;S;S
46428;S;
46482;S;
28179;S;S
22133;S;S
36220;S;S
24516;S;
13910;S;S
40065;S;
17065;S;S
21957;S;S
65034;S;
46240;S;
5306;S;
32496;S;S
40517;S;S
9581;S;S
36258;S;S
5242;S;S
3459;S;
40385;S;
47732;S;
12509;S;S
19983;S;S
27405;S;
69766;S;
47722;S;S
37460;S;
59963;S;
22720;S;
50817;S;S
15179;S;S
10337;S;S
64148;S;
19979;S;S
37075;S;S
3342;S;
69918;S;S
15070;S;S
40655;S;
14739;S;S
25019;S;
62085;S;S
3358;S;S
27307;S;S
17044;S;
4080;S;S
4080;S;
25180;S;S
5300;S;S
48252;S;
71643;S;S
46550;S;
46550;S;S
49320;S;S
13863;S;S
54793;S;
36072;S;
37546;S;S
19364;S;S
57642;S;S
10243;S;S
37545;S;S
42634;S;
2608;S;S
2564;S;S
46252;S;S
54799;S;
17254;S;S
9372;S;S
57221;S;S
18814;S;
36101;S;
10139;S;
48229;S;
3117;S;S
9309;S;
15983;S;S
4270;S;S
29357;S;
27500;S;S
3517;S;S
43826;S;
42400;S;
71545;S;
