EMPCT;CONVOCADO;MATRICULADO
12492;S;S
24851;S;
612;S;S
46561;S;
8339;S;S
8383;S;S
58724;S;
60124;S;S
65701;S;S
21127;S;S
17478;S;S
17478;S;
24804;S;
584;S;S
69662;S;
16648;S;
61813;S;
37663;S;S
37663;S;
7722;S;S
61444;S;S
37707;S;
37707;S;S
5419;S;S
31352;S;
1051;S;S
20643;S;S
68085;S;
18404;S;S
34556;S;
61298;S;
20747;S;S
4956;S;S
13053;S;S
14313;S;S
37781;S;
60123;S;
42802;S;S
44159;S;
169;S;S
52370;S;S
28268;S;S
48331;S;S
61347;S;S
25562;S;
5274;S;S
31757;S;S
7073;S;S
38960;S;
53856;S;
53856;S;S
7572;S;
8131;S;S
67680;S;S
6682;S;S
3857;S;S
43616;S;
58334;S;
65958;S;
25774;S;S
27586;S;
46801;S;S
39109;S;
55978;S;
73415;S;S
44152;S;
13393;S;S
43497;S;
60008;S;
60008;S;S
16284;S;S
5314;S;S
43030;S;S
18092;S;
28165;S;S
34534;S;
54704;S;S
42761;S;S
60308;S;
6734;S;S
37785;S;
43911;S;S
20553;S;S
52402;S;S
68043;S;
18272;S;S
44772;S;
42540;S;
7507;S;S
22947;S;S
20288;S;
20807;S;S
6987;S;
58440;S;
128;S;S
52671;S;
57784;S;
43099;S;S
73301;S;
51628;S;
211;S;S
18206;S;S
66747;S;S
46137;S;
49869;S;S
7916;S;S
50568;S;
8465;S;S
7603;S;S
5584;S;S
4932;S;S
15114;S;
51681;S;S
1058;S;
4074;S;
57793;S;
68709;S;S
28184;S;S
27792;S;
68526;S;S
61926;S;
60280;S;
32582;S;
27667;S;
18512;S;S
52379;S;S
4078;S;S
8416;S;S
20989;S;S
65668;S;S
4635;S;
18635;S;
6393;S;S
26407;S;S
37656;S;S
8363;S;S
1044;S;S
808;S;
808;S;S
52048;S;
8239;S;S
25262;S;
44043;S;S
46204;S;
56136;S;
24210;S;S
25647;S;
32698;S;
23868;S;S
59381;S;S
20892;S;S
69119;S;S
7402;S;S
64156;S;
48174;S;
44948;S;
70562;S;S
61560;S;
44087;S;
7854;S;
4251;S;S
14788;S;S
22687;S;S
65300;S;S
20546;S;S
